x3/4 : ['a', 'b', 'c', 'e', 'd', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'm', 'n', 'o', 'p', 'q', 'r', 's', 't', 'u', 'v', 'w', 'x', 'y', 'z']
pm/e : ['a', 'b', 'c', 'm', 'd', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'e', 'n', 'o', 'p', 'q', 'r', 's', 't', 'u', 'v', 'w', 'x', 'y', 'z']
x15/7 : ['a', 'b', 'c', 'm', 'd', 'f', 'g', 'p', 'i', 'j', 'k', 'l', 'e', 'n', 'o', 'h', 'q', 'r', 's', 't', 'u', 'v', 'w', 'x', 'y', 'z']
pp/l : ['a', 'b', 'c', 'm', 'd', 'f', 'g', 'l', 'i', 'j', 'k', 'p', 'e', 'n', 'o', 'h', 'q', 'r', 's', 't', 'u', 'v', 'w', 'x', 'y', 'z']
x5/8 : ['a', 'b', 'c', 'm', 'd', 'i', 'g', 'l', 'f', 'j', 'k', 'p', 'e', 'n', 'o', 'h', 'q', 'r', 's', 't', 'u', 'v', 'w', 'x', 'y', 'z']
s15 : ['p', 'e', 'n', 'o', 'h', 'q', 'r', 's', 't', 'u', 'v', 'w', 'x', 'y', 'z', 'a', 'b', 'c', 'm', 'd', 'i', 'g', 'l', 'f', 'j', 'k']
x2/6 : ['p', 'e', 'r', 'o', 'h', 'q', 'n', 's', 't', 'u', 'v', 'w', 'x', 'y', 'z', 'a', 'b', 'c', 'm', 'd', 'i', 'g', 'l', 'f', 'j', 'k']
s9 : ['c', 'm', 'd', 'i', 'g', 'l', 'f', 'j', 'k', 'p', 'e', 'r', 'o', 'h', 'q', 'n', 's', 't', 'u', 'v', 'w', 'x', 'y', 'z', 'a', 'b']
x0/4 : ['g', 'm', 'd', 'i', 'c', 'l', 'f', 'j', 'k', 'p', 'e', 'r', 'o', 'h', 'q', 'n', 's', 't', 'u', 'v', 'w', 'x', 'y', 'z', 'a', 'b']
s7 : ['v', 'w', 'x', 'y', 'z', 'a', 'b', 'g', 'm', 'd', 'i', 'c', 'l', 'f', 'j', 'k', 'p', 'e', 'r', 'o', 'h', 'q', 'n', 's', 't', 'u']
x8/12 : ['v', 'w', 'x', 'y', 'z', 'a', 'b', 'g', 'l', 'd', 'i', 'c', 'm', 'f', 'j', 'k', 'p', 'e', 'r', 'o', 'h', 'q', 'n', 's', 't', 'u']
